GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,GEOGDESC,TO_POP2016,TO_HOU2016,AREA_SQMET,POP_DENS,DEP_RATIO,PER_NONIRE,HO_PRE2001,HO_POS2001,PER_FLAPBE,PER_RENT,PER_VAC,PER_UNEM,PER_PROF,PER_O_OCC,PER_3ED,PER_NO3ED,AV_PER_HOU,PER_NO_INT,PER_DISAB,TO_POP2011,PER_CH_POP,TO_HOU2011,PER_CH_HOU
4c07d11e-34c5-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02101,268054,Crumlin D,268054001,268054001,A268054001,Small Area,250,115,33942.32112226758,7365.44,33.69,10.4,94,0,9.57,27.83,5.6,8.68,22.61,77.39,32.43,54.59,2.23,10.43,19.6,261,-4.21,113,1.77
4c07d11e-3372-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02129,268114,Pembroke East E,268114009,268114009,A268114009,Small Area,161,80,33855.467408427285,4755.51,49.07,19.5,65,2,72.5,42.5,18.18,1.47,42.5,57.5,68.1,18.97,2.05,3.75,9.32,138,16.67,76,5.26
4c07d11e-38ad-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02047,268058,Drumcondra South A,268058012,268058012,A268058012,Small Area,131,60,33811.669751793175,3874.4,24.76,21.54,45,0,20,36.67,27.71,4.84,26.67,73.33,54.84,34.41,2.17,3.33,18.32,137,-4.38,59,1.69
4c07d11e-389b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02028,268028,Botanic B,268028010,268028010,A268028010,Small Area,225,93,33772.48455706655,6662.23,18.42,27.8,39,53,100,64.52,14.53,2.88,39.78,60.22,74.71,14.12,2.27,1.08,9.78,209,7.66,100,-7
4c07d11e-3641-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02034,268034,Cabra West B,268034005,268034005,A268034005,Small Area,272,103,33772.250567986746,8053.95,43.92,8.82,93,1,0,30.1,1.89,9.95,4.85,95.15,11.41,64.67,2.59,0,16.18,266,2.26,100,3
4c07d11e-2bb8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02130,268115,Pembroke West A,268115013,268115013,A268115013,Small Area,221,103,33742.56934555744,6549.59,33.13,20.28,78,13,9.71,39.81,15.57,4.06,33.01,66.99,63.79,24.71,2.23,4.85,11.31,201,9.95,96,7.29
4c07d11e-2b25-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02146,268142,St. Kevin's,268142017,268142017,A268142017,Small Area,256,94,33475.51315321572,7647.38,8.47,43.32,39,13,87.23,68.09,13.27,26.32,24.47,75.53,35.68,52.97,1.99,21.28,21.88,301,-14.95,90,4.44
4c07d11e-3057-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02102,268055,Crumlin E,268055008,268055008,A268055008,Small Area,320,124,33419.9086366583,9575.13,51.66,10.69,108,1,0,25,8.82,12.36,10.48,89.52,13.82,68.66,2.6,4.84,19.06,307,4.23,124,0
4c07d11e-34bb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02144,268140,Royal Exchange A,268140005,268140005,A268140005,Small Area,100,60,33382.185888265914,2995.61,5.26,41,39,0,76.67,51.67,41.18,8.08,13.33,86.67,33.33,62.82,1.7,35,7,157,-36.31,81,-25.93
4c07d11e-337f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02134,268128,Rathmines East A,268128024,268128024,A268128024,Small Area,202,93,33378.76059716582,6051.75,24.69,22.16,64,20,51.61,73.12,7.77,4.76,18.28,81.72,59.73,34.23,2.13,3.23,10.4,169,19.53,85,9.41
4c07d11e-3097-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02110,268085,Kilmainham C,268085009,268085009,A268085009,Small Area,257,128,33356.241714885015,7704.7,17.35,36.22,40,73,80.47,54.69,15.13,5.7,28.91,71.09,53.4,26.7,2.05,3.13,11.67,252,1.98,137,-6.57
4c07d11e-33ef-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02125,268110,Pembroke East A,268110011,268110011,A268110011,Small Area,149,69,33316.60218785773,4472.24,29.57,17.81,55,2,39.13,55.07,9.21,10.48,20.29,79.71,39.82,44.25,2.25,5.8,12.08,155,-3.87,69,0
4c07d11e-364c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02032,268032,Cabra East C,268032015,268032015,A268032015,Small Area,175,70,33269.863325345854,5260.02,24.11,21.52,49,0,34.29,30,12.35,5.06,31.43,68.57,46.22,42.86,2.23,17.14,12,158,10.76,70,0
4c07d11e-3386-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02126,268111,Pembroke East B,268111004,268111004,A268111004,Small Area,212,96,33142.89743441107,6396.54,29.27,12.81,70,9,4.17,48.96,17.65,4.95,44.79,55.21,74.21,16.98,2.13,6.25,8.49,204,3.92,103,-6.8
4c07d11e-34f3-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02110,268085,Kilmainham C,268085018,268085018,A268085018,Small Area,328,123,33134.9460997816,9898.91,39.57,15.79,106,3,0,26.02,7.41,5.59,17.89,82.11,22.98,60,2.6,4.07,16.16,310,5.81,124,-0.81
4c07d11e-36ff-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02035,268035,Cabra West C,268035012,268035012,A268035012,Small Area,227,75,33046.28203760002,6869.15,47.4,16.3,68,1,0,33.33,7.41,4.02,25.33,74.67,36.84,51.13,3.09,4,11.01,203,11.82,73,2.74
4c07d11e-2d29-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02045,268049,Clontarf West D,268049009,268049009,A268049009,Small Area,214,83,33002.53115277975,6484.35,52.86,16.59,76,0,12.05,20.48,7.69,3.51,30.12,69.88,47.18,35.92,2.52,4.82,15.89,193,10.88,77,7.79
